Time(s)	Flow ID	Throughput(Mbps)
45	7	173.607
45	9	162.735
45.1	1	197.411
45.1	3	186.31
45.1	5	219.612
45.1	7	185.165
45.1	9	163.879
45.2	1	204.849
45.2	3	164.223
45.2	5	165.024
45.2	7	202.789
45.2	9	215.492
45.3	1	186.31
45.3	3	166.74
45.3	5	174.98
45.3	7	224.533
45.3	9	199.928
45.4	1	176.01
45.4	3	166.168
45.4	5	173.95
45.4	7	247.078
45.4	9	189.171
45.5	1	180.931
45.5	3	177.612
45.5	5	187.798
45.5	7	210.114
45.5	9	195.923
45.6	1	195.58
45.6	3	192.032
45.6	5	202.332
45.6	7	165.367
45.6	9	197.067
45.7	1	182.304
45.7	3	188.484
45.7	5	227.394
45.7	7	164.68
45.7	9	189.629
45.8	1	200.615
45.8	3	182.076
45.8	5	212.173
45.8	7	163.651
45.8	9	193.863
45.9	1	183.334
45.9	3	186.653
45.9	5	189.171
45.9	7	200.272
45.9	9	192.947
46	1	201.874
46	3	186.768
46	5	179.1
46	7	187.454
46	9	197.182
46.1	1	207.367
46.1	3	181.618
46.1	5	177.383
46.1	7	193.176
46.1	9	192.947
46.2	1	208.855
46.2	3	189.857
46.2	5	198.212
46.2	7	187.569
46.2	9	167.885
46.3	1	209.198
46.3	3	201.645
46.3	5	206.223
46.3	7	152.55
46.3	9	182.762
46.4	1	205.765
46.4	3	177.383
46.4	5	194.55
46.4	7	196.609
46.4	9	178.07
46.5	1	179.329
46.5	3	190.201
46.5	5	186.768
46.5	7	216.98
46.5	9	179.1
46.6	1	170.86
46.6	3	188.141
46.6	5	185.051
46.6	7	234.947
46.6	9	173.492
46.7	1	182.648
46.7	3	180.931
46.7	5	208.626
46.7	7	209.656
46.7	9	170.517
46.8	1	189.857
46.8	3	192.719
46.8	5	211.601
46.8	7	170.288
46.8	9	187.912
46.9	1	207.825
46.9	3	182.076
46.9	5	219.269
46.9	7	184.25
46.9	9	158.958
47	1	171.089
47	3	182.533
47	5	190.544
47	7	205.765
47	9	202.56
47.1	1	181.847
47.1	3	191.002
47.1	5	181.046
47.1	7	220.184
47.1	9	178.299
47.2	1	182.991
47.2	3	183.792
47.2	5	183.563
47.2	7	214.348
47.2	9	187.683
47.3	1	162.964
47.3	3	174.294
47.3	5	215.95
47.3	7	222.13
47.3	9	177.04
47.4	1	199.242
47.4	3	179.443
47.4	5	185.394
47.4	7	201.874
47.4	9	186.539
47.5	1	212.631
47.5	3	191.345
47.5	5	169.029
47.5	7	219.154
47.5	9	160.217
47.6	1	183.449
47.6	3	217.323
47.6	5	161.476
47.6	7	217.896
47.6	9	172.234
47.7	1	167.656
47.7	3	215.836
47.7	5	176.125
47.7	7	217.438
47.7	9	175.323
47.8	1	185.165
47.8	3	192.261
47.8	5	147.743
47.8	7	210.571
47.8	9	216.751
47.9	1	177.612
47.9	3	180.588
47.9	5	165.482
47.9	7	218.353
47.9	9	210.342
48	1	183.678
48	3	177.727
48	5	191.002
48	7	189.171
48	9	210.8
48.1	1	195.923
48.1	3	188.599
48.1	5	178.413
48.1	7	180.817
48.1	9	208.626
48.2	1	193.291
48.2	3	218.353
48.2	5	175.438
48.2	7	180.702
48.2	9	184.593
48.3	1	152.893
48.3	3	208.168
48.3	5	190.659
48.3	7	209.999
